Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32
INFLUENTIAL,DOMINANCE,CONSCIENTIOUSNESS,INFLUENTIAL,CONSCIENTIOUSNESS,DOMINANCE,DOMINANCE,STEADINESS,STEADINESS,DOMINANCE,DOMINANCE,STEADINESS,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,INFLUENTIAL,INFLUENTIAL,DOMINANCE,STEADINESS,INFLUENTIAL,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,STEADINESS,INFLUENTIAL,STEADINESS,INFLUENTIAL,CONSCIENTIOUSNESS,STEADINESS,DOMINANCE,CONSCIENTIOUSNESS
STEADINESS,INFLUENTIAL,STEADINESS,DOMINANCE,INFLUENTIAL,CONSCIENTIOUSNESS,DOMINANCE,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,STEADINESS,DOMINANCE,STEADINESS,DOMINANCE,INFLUENTIAL,CONSCIENTIOUSNESS,INFLUENTIAL,DOMINANCE,INFLUENTIAL,DOMINANCE,INFLUENTIAL,INFLUENTIAL,CONSCIENTIOUSNESS,DOMINANCE,DOMINANCE,CONSCIENTIOUSNESS,STEADINESS,INFLUENTIAL,STEADINESS,INFLUENTIAL,STEADINESS,STEADINESS,STEADINESS
DOMINANCE,INFLUENTIAL,STEADINESS,CONSCIENTIOUSNESS,DOMINANCE,CONSCIENTIOUSNESS,STEADINESS,CONSCIENTIOUSNESS,STEADINESS,STEADINESS,CONSCIENTIOUSNESS,STEADINESS,INFLUENTIAL,INFLUENTIAL,DOMINANCE,DOMINANCE,CONSCIENTIOUSNESS,STEADINESS,INFLUENTIAL,CONSCIENTIOUSNESS,INFLUENTIAL,INFLUENTIAL,STEADINESS,INFLUENTIAL,CONSCIENTIOUSNESS,INFLUENTIAL,INFLUENTIAL,STEADINESS,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,INFLUENTIAL,INFLUENTIAL
STEADINESS,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,INFLUENTIAL,DOMINANCE,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,STEADINESS,DOMINANCE,INFLUENTIAL,STEADINESS,INFLUENTIAL,STEADINESS,CONSCIENTIOUSNESS,DOMINANCE,INFLUENTIAL,STEADINESS,INFLUENTIAL,DOMINANCE,CONSCIENTIOUSNESS,DOMINANCE,DOMINANCE,DOMINANCE,DOMINANCE,STEADINESS,STEADINESS,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,STEADINESS
CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,DOMINANCE,DOMINANCE,DOMINANCE,INFLUENTIAL,INFLUENTIAL,CONSCIENTIOUSNESS,DOMINANCE,INFLUENTIAL,DOMINANCE,STEADINESS,DOMINANCE,DOMINANCE,INFLUENTIAL,DOMINANCE,STEADINESS,STEADINESS,STEADINESS,STEADINESS,CONSCIENTIOUSNESS,STEADINESS,DOMINANCE,INFLUENTIAL,STEADINESS,CONSCIENTIOUSNESS,STEADINESS,DOMINANCE,STEADINESS,DOMINANCE,CONSCIENTIOUSNESS,STEADINESS
CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,INFLUENTIAL,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,DOMINANCE,DOMINANCE,DOMINANCE,STEADINESS,DOMINANCE,STEADINESS,DOMINANCE,CONSCIENTIOUSNESS,STEADINESS,STEADINESS,STEADINESS,CONSCIENTIOUSNESS,DOMINANCE,INFLUENTIAL,DOMINANCE,CONSCIENTIOUSNESS,DOMINANCE,STEADINESS,DOMINANCE,DOMINANCE,DOMINANCE,INFLUENTIAL,CONSCIENTIOUSNESS,DOMINANCE,STEADINESS,INFLUENTIAL,CONSCIENTIOUSNESS
DOMINANCE,INFLUENTIAL,DOMINANCE,DOMINANCE,STEADINESS,CONSCIENTIOUSNESS,STEADINESS,INFLUENTIAL,CONSCIENTIOUSNESS,DOMINANCE,CONSCIENTIOUSNESS,INFLUENTIAL,DOMINANCE,INFLUENTIAL,CONSCIENTIOUSNESS,INFLUENTIAL,DOMINANCE,DOMINANCE,DOMINANCE,INFLUENTIAL,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,STEADINESS,DOMINANCE,STEADINESS,STEADINESS,CONSCIENTIOUSNESS,STEADINESS,DOMINANCE,DOMINANCE,DOMINANCE,DOMINANCE
CONSCIENTIOUSNESS,STEADINESS,INFLUENTIAL,CONSCIENTIOUSNESS,STEADINESS,CONSCIENTIOUSNESS,DOMINANCE,STEADINESS,DOMINANCE,DOMINANCE,DOMINANCE,DOMINANCE,INFLUENTIAL,CONSCIENTIOUSNESS,DOMINANCE,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,DOMINANCE,STEADINESS,INFLUENTIAL,INFLUENTIAL,STEADINESS,INFLUENTIAL,STEADINESS,DOMINANCE,CONSCIENTIOUSNESS,STEADINESS,DOMINANCE,INFLUENTIAL,STEADINESS,DOMINANCE,CONSCIENTIOUSNESS
STEADINESS,STEADINESS,INFLUENTIAL,STEADINESS,INFLUENTIAL,INFLUENTIAL,CONSCIENTIOUSNESS,DOMINANCE,DOMINANCE,STEADINESS,DOMINANCE,INFLUENTIAL,INFLUENTIAL,DOMINANCE,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,INFLUENTIAL,STEADINESS,CONSCIENTIOUSNESS,DOMINANCE,DOMINANCE,STEADINESS,CONSCIENTIOUSNESS,DOMINANCE,DOMINANCE,DOMINANCE,INFLUENTIAL,DOMINANCE,STEADINESS,STEADINESS,DOMINANCE,DOMINANCE
INFLUENTIAL,STEADINESS,CONSCIENTIOUSNESS,STEADINESS,INFLUENTIAL,DOMINANCE,DOMINANCE,DOMINANCE,CONSCIENTIOUSNESS,INFLUENTIAL,CONSCIENTIOUSNESS,STEADINESS,INFLUENTIAL,DOMINANCE,DOMINANCE,STEADINESS,DOMINANCE,INFLUENTIAL,STEADINESS,DOMINANCE,INFLUENTIAL,CONSCIENTIOUSNESS,STEADINESS,CONSCIENTIOUSNESS,STEADINESS,CONSCIENTIOUSNESS,STEADINESS,STEADINESS,DOMINANCE,CONSCIENTIOUSNESS,STEADINESS,DOMINANCE
CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,DOMINANCE,STEADINESS,STEADINESS,STEADINESS,STEADINESS,STEADINESS,INFLUENTIAL,STEADINESS,CONSCIENTIOUSNESS,INFLUENTIAL,INFLUENTIAL,DOMINANCE,STEADINESS,DOMINANCE,STEADINESS,STEADINESS,CONSCIENTIOUSNESS,INFLUENTIAL,STEADINESS,STEADINESS,CONSCIENTIOUSNESS,INFLUENTIAL,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,DOMINANCE,DOMINANCE,INFLUENTIAL,CONSCIENTIOUSNESS,DOMINANCE
STEADINESS,CONSCIENTIOUSNESS,DOMINANCE,INFLUENTIAL,CONSCIENTIOUSNESS,STEADINESS,DOMINANCE,STEADINESS,INFLUENTIAL,INFLUENTIAL,STEADINESS,CONSCIENTIOUSNESS,STEADINESS,INFLUENTIAL,DOMINANCE,INFLUENTIAL,STEADINESS,STEADINESS,INFLUENTIAL,CONSCIENTIOUSNESS,DOMINANCE,CONSCIENTIOUSNESS,INFLUENTIAL,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,INFLUENTIAL,STEADINESS,STEADINESS,DOMINANCE,DOMINANCE,DOMINANCE,CONSCIENTIOUSNESS
INFLUENTIAL,INFLUENTIAL,DOMINANCE,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,DOMINANCE,INFLUENTIAL,INFLUENTIAL,STEADINESS,DOMINANCE,CONSCIENTIOUSNESS,STEADINESS,STEADINESS,INFLUENTIAL,STEADINESS,STEADINESS,CONSCIENTIOUSNESS,DOMINANCE,DOMINANCE,CONSCIENTIOUSNESS,STEADINESS,STEADINESS,STEADINESS,INFLUENTIAL,DOMINANCE,CONSCIENTIOUSNESS,STEADINESS,STEADINESS,INFLUENTIAL,CONSCIENTIOUSNESS,INFLUENTIAL,INFLUENTIAL
DOMINANCE,INFLUENTIAL,INFLUENTIAL,CONSCIENTIOUSNESS,STEADINESS,STEADINESS,DOMINANCE,STEADINESS,DOMINANCE,INFLUENTIAL,STEADINESS,CONSCIENTIOUSNESS,STEADINESS,STEADINESS,CONSCIENTIOUSNESS,STEADINESS,DOMINANCE,CONSCIENTIOUSNESS,INFLUENTIAL,DOMINANCE,CONSCIENTIOUSNESS,DOMINANCE,DOMINANCE,DOMINANCE,DOMINANCE,INFLUENTIAL,INFLUENTIAL,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,DOMINANCE,DOMINANCE
CONSCIENTIOUSNESS,INFLUENTIAL,DOMINANCE,STEADINESS,CONSCIENTIOUSNESS,DOMINANCE,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,INFLUENTIAL,DOMINANCE,CONSCIENTIOUSNESS,STEADINESS,DOMINANCE,DOMINANCE,STEADINESS,INFLUENTIAL,INFLUENTIAL,DOMINANCE,DOMINANCE,INFLUENTIAL,STEADINESS,DOMINANCE,INFLUENTIAL,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,DOMINANCE,CONSCIENTIOUSNESS,INFLUENTIAL,DOMINANCE,INFLUENTIAL,INFLUENTIAL,STEADINESS
DOMINANCE,DOMINANCE,STEADINESS,DOMINANCE,CONSCIENTIOUSNESS,INFLUENTIAL,CONSCIENTIOUSNESS,DOMINANCE,DOMINANCE,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,DOMINANCE,DOMINANCE,CONSCIENTIOUSNESS,STEADINESS,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,DOMINANCE,CONSCIENTIOUSNESS,STEADINESS,DOMINANCE,INFLUENTIAL,STEADINESS,DOMINANCE,CONSCIENTIOUSNESS,INFLUENTIAL,INFLUENTIAL,CONSCIENTIOUSNESS,INFLUENTIAL,STEADINESS,STEADINESS,DOMINANCE
DOMINANCE,CONSCIENTIOUSNESS,DOMINANCE,STEADINESS,STEADINESS,CONSCIENTIOUSNESS,DOMINANCE,STEADINESS,INFLUENTIAL,CONSCIENTIOUSNESS,STEADINESS,STEADINESS,INFLUENTIAL,DOMINANCE,DOMINANCE,CONSCIENTIOUSNESS,DOMINANCE,CONSCIENTIOUSNESS,DOMINANCE,INFLUENTIAL,STEADINESS,CONSCIENTIOUSNESS,DOMINANCE,INFLUENTIAL,INFLUENTIAL,INFLUENTIAL,CONSCIENTIOUSNESS,DOMINANCE,STEADINESS,INFLUENTIAL,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS
STEADINESS,INFLUENTIAL,INFLUENTIAL,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,DOMINANCE,DOMINANCE,DOMINANCE,STEADINESS,CONSCIENTIOUSNESS,DOMINANCE,INFLUENTIAL,INFLUENTIAL,INFLUENTIAL,STEADINESS,INFLUENTIAL,INFLUENTIAL,STEADINESS,CONSCIENTIOUSNESS,STEADINESS,DOMINANCE,DOMINANCE,CONSCIENTIOUSNESS,DOMINANCE,CONSCIENTIOUSNESS,DOMINANCE,DOMINANCE,DOMINANCE,CONSCIENTIOUSNESS,INFLUENTIAL,INFLUENTIAL,STEADINESS
DOMINANCE,STEADINESS,STEADINESS,DOMINANCE,DOMINANCE,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,STEADINESS,INFLUENTIAL,CONSCIENTIOUSNESS,STEADINESS,STEADINESS,INFLUENTIAL,CONSCIENTIOUSNESS,INFLUENTIAL,STEADINESS,DOMINANCE,CONSCIENTIOUSNESS,DOMINANCE,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,DOMINANCE,CONSCIENTIOUSNESS,STEADINESS,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,INFLUENTIAL,DOMINANCE,INFLUENTIAL,DOMINANCE,STEADINESS
STEADINESS,INFLUENTIAL,STEADINESS,STEADINESS,CONSCIENTIOUSNESS,INFLUENTIAL,STEADINESS,CONSCIENTIOUSNESS,STEADINESS,INFLUENTIAL,DOMINANCE,DOMINANCE,CONSCIENTIOUSNESS,DOMINANCE,CONSCIENTIOUSNESS,INFLUENTIAL,CONSCIENTIOUSNESS,STEADINESS,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,DOMINANCE,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,DOMINANCE,DOMINANCE,STEADINESS,DOMINANCE,INFLUENTIAL,STEADINESS,CONSCIENTIOUSNESS,STEADINESS,STEADINESS
INFLUENTIAL,INFLUENTIAL,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,STEADINESS,DOMINANCE,CONSCIENTIOUSNESS,DOMINANCE,INFLUENTIAL,DOMINANCE,INFLUENTIAL,INFLUENTIAL,STEADINESS,CONSCIENTIOUSNESS,STEADINESS,STEADINESS,INFLUENTIAL,STEADINESS,STEADINESS,STEADINESS,STEADINESS,INFLUENTIAL,INFLUENTIAL,INFLUENTIAL,DOMINANCE,STEADINESS,INFLUENTIAL,CONSCIENTIOUSNESS,INFLUENTIAL,INFLUENTIAL,INFLUENTIAL,STEADINESS
STEADINESS,DOMINANCE,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,DOMINANCE,STEADINESS,CONSCIENTIOUSNESS,STEADINESS,INFLUENTIAL,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,DOMINANCE,INFLUENTIAL,DOMINANCE,INFLUENTIAL,DOMINANCE,CONSCIENTIOUSNESS,STEADINESS,DOMINANCE,CONSCIENTIOUSNESS,STEADINESS,DOMINANCE,INFLUENTIAL,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,STEADINESS,INFLUENTIAL,INFLUENTIAL,STEADINESS,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,INFLUENTIAL
CONSCIENTIOUSNESS,DOMINANCE,STEADINESS,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,STEADINESS,INFLUENTIAL,INFLUENTIAL,STEADINESS,DOMINANCE,DOMINANCE,DOMINANCE,INFLUENTIAL,INFLUENTIAL,DOMINANCE,INFLUENTIAL,INFLUENTIAL,DOMINANCE,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,INFLUENTIAL,DOMINANCE,INFLUENTIAL,DOMINANCE,CONSCIENTIOUSNESS,DOMINANCE,DOMINANCE,INFLUENTIAL,INFLUENTIAL,DOMINANCE,CONSCIENTIOUSNESS,INFLUENTIAL
DOMINANCE,DOMINANCE,STEADINESS,STEADINESS,DOMINANCE,INFLUENTIAL,DOMINANCE,CONSCIENTIOUSNESS,STEADINESS,INFLUENTIAL,INFLUENTIAL,CONSCIENTIOUSNESS,STEADINESS,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,INFLUENTIAL,CONSCIENTIOUSNESS,STEADINESS,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,STEADINESS,CONSCIENTIOUSNESS,INFLUENTIAL,STEADINESS,INFLUENTIAL,INFLUENTIAL,CONSCIENTIOUSNESS,STEADINESS,DOMINANCE,CONSCIENTIOUSNESS,STEADINESS,STEADINESS
CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,DOMINANCE,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,STEADINESS,STEADINESS,DOMINANCE,DOMINANCE,DOMINANCE,STEADINESS,DOMINANCE,CONSCIENTIOUSNESS,DOMINANCE,INFLUENTIAL,INFLUENTIAL,DOMINANCE,CONSCIENTIOUSNESS,DOMINANCE,STEADINESS,INFLUENTIAL,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,DOMINANCE,DOMINANCE,CONSCIENTIOUSNESS,DOMINANCE,CONSCIENTIOUSNESS,DOMINANCE,DOMINANCE,DOMINANCE,CONSCIENTIOUSNESS
CONSCIENTIOUSNESS,STEADINESS,CONSCIENTIOUSNESS,DOMINANCE,DOMINANCE,DOMINANCE,CONSCIENTIOUSNESS,DOMINANCE,STEADINESS,DOMINANCE,CONSCIENTIOUSNESS,INFLUENTIAL,DOMINANCE,STEADINESS,STEADINESS,DOMINANCE,STEADINESS,STEADINESS,DOMINANCE,INFLUENTIAL,CONSCIENTIOUSNESS,DOMINANCE,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,STEADINESS,DOMINANCE,STEADINESS,CONSCIENTIOUSNESS,STEADINESS,INFLUENTIAL,CONSCIENTIOUSNESS,STEADINESS
STEADINESS,INFLUENTIAL,CONSCIENTIOUSNESS,INFLUENTIAL,INFLUENTIAL,STEADINESS,INFLUENTIAL,INFLUENTIAL,STEADINESS,INFLUENTIAL,STEADINESS,STEADINESS,CONSCIENTIOUSNESS,STEADINESS,CONSCIENTIOUSNESS,STEADINESS,STEADINESS,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,INFLUENTIAL,STEADINESS,DOMINANCE,INFLUENTIAL,INFLUENTIAL,CONSCIENTIOUSNESS,STEADINESS,INFLUENTIAL,DOMINANCE,INFLUENTIAL,DOMINANCE,INFLUENTIAL,STEADINESS
INFLUENTIAL,INFLUENTIAL,INFLUENTIAL,STEADINESS,STEADINESS,CONSCIENTIOUSNESS,STEADINESS,INFLUENTIAL,STEADINESS,CONSCIENTIOUSNESS,DOMINANCE,DOMINANCE,DOMINANCE,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,INFLUENTIAL,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,INFLUENTIAL,CONSCIENTIOUSNESS,DOMINANCE,DOMINANCE,STEADINESS,CONSCIENTIOUSNESS,DOMINANCE,INFLUENTIAL,CONSCIENTIOUSNESS,STEADINESS,STEADINESS,DOMINANCE,CONSCIENTIOUSNESS
CONSCIENTIOUSNESS,DOMINANCE,INFLUENTIAL,DOMINANCE,STEADINESS,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,DOMINANCE,INFLUENTIAL,CONSCIENTIOUSNESS,INFLUENTIAL,CONSCIENTIOUSNESS,STEADINESS,STEADINESS,STEADINESS,DOMINANCE,INFLUENTIAL,STEADINESS,CONSCIENTIOUSNESS,DOMINANCE,INFLUENTIAL,STEADINESS,DOMINANCE,STEADINESS,CONSCIENTIOUSNESS,INFLUENTIAL,STEADINESS,DOMINANCE,INFLUENTIAL,CONSCIENTIOUSNESS,DOMINANCE,DOMINANCE
DOMINANCE,DOMINANCE,DOMINANCE,CONSCIENTIOUSNESS,CONSCIENTIOUSNESS,STEADINESS,DOMINANCE,DOMINANCE,STEADINESS,DOMINANCE,INFLUENTIAL,DOMINANCE,DOMINANCE,INFLUENTIAL,INFLUENTIAL,INFLUENTIAL,DOMINANCE,CONSCIENTIOUSNESS,STEADINESS,CONSCIENTIOUSNESS,INFLUENTIAL,INFLUENTIAL,INFLUENTIAL,STEADINESS,STEADINESS,INFLUENTIAL,STEADINESS,INFLUENTIAL,DOMINANCE,INFLUENTIAL,DOMINANCE,INFLUENTIAL
